"cd_nom","lb_nom_key","lb_nom_cd_key","regne"
"188659","Aaptos","Aaptos{188659}","Animalia"
"70971","Aaptos aaptos","Aaptos aaptos{70971}","Animalia"
"549734","Aaptos adriatica","Aaptos adriatica{549734}","Animalia"
"70972","Aaptos papillata","Aaptos papillata{70972}","Animalia"
"359644","Aaptos papillatus","Aaptos papillatus{359644}","Animalia"
"606842","Aaronsohnia","Aaronsohnia{606842}","Plantae"
"201833","Abacarus","Abacarus{201833}","Animalia"
"221232","Abacarus hystrix","Abacarus hystrix{221232}","Animalia"
"188660","Abacetus","Abacetus{188660}","Animalia"
"9069","Abacetus salzmanni","Abacetus salzmanni{9069}","Animalia"
"414864","Abacobia carbonella","Abacobia carbonella{414864}","Animalia"
"584762","Abacola holothuriae","Abacola holothuriae{584762}","Animalia"
"202360","Abacoproeces","Abacoproeces{202360}","Animalia"
"233451","Abacoproeces saltuum","Abacoproeces saltuum{233451}","Animalia"
"79313","Abacosa dumetorum","Abacosa dumetorum{79313}","Plantae"
"79314","Abacosa onobrychioides","Abacosa onobrychioides{79314}","Plantae"
"68550","Abadèche boulotte","Abadèche boulotte{68550}","Animalia"
"79315","Abama ossifraga","Abama ossifraga{79315}","Plantae"
"354978","Abarenicola","Abarenicola{354978}","Animalia"
"371817","Abarenicola claparedei","Abarenicola claparedei{371817}","Animalia"
"531330","Abarenicola claparedi","Abarenicola claparedi{531330}","Animalia"
"566620","Abarenicola claparedii","Abarenicola claparedii{566620}","Animalia"
"79316","Abasicarpon patulum","Abasicarpon patulum{79316}","Plantae"
"200975","Abasola","Abasola{200975}","Animalia"
"337053","Abasola sarea","Abasola sarea{337053}","Animalia"
"392181","Abastus macquarti","Abastus macquarti{392181}","Animalia"
"816","Abasula sarea","Abasula sarea{816}","Animalia"
"188661","Abax","Abax{188661}","Animalia"
"222609","Abax carinatus","Abax carinatus{222609}","Animalia"
"251022","Abax carinatus carinatus","Abax carinatus carinatus{251022}","Animalia"
"395789","Abax carpathicus","Abax carpathicus{395789}","Animalia"
"395772","Abax ellipticus","Abax ellipticus{395772}","Animalia"
"395773","Abax lippizanus","Abax lippizanus{395773}","Animalia"
"395785","Abax magnicollis","Abax magnicollis{395785}","Animalia"
"395784","Abax montserratensis","Abax montserratensis{395784}","Animalia"
"395674","Abaxodes dejeanii","Abaxodes dejeanii{395674}","Animalia"
"9157","Abax ovalis","Abax ovalis{9157}","Animalia"
"222607","Abax parallelepipedus","Abax parallelepipedus{222607}","Animalia"
"251018","Abax parallelepipedus contractus","Abax parallelepipedus contractus{251018}","Animalia"
"251019","Abax parallelepipedus parallelepipedus","Abax parallelepipedus parallelepipedus{251019}","Animalia"
"9158","Abax parallelus","Abax parallelus{9158}","Animalia"
"251020","Abax parallelus parallelus","Abax parallelus parallelus{251020}","Animalia"
"395779","Abax podolicus","Abax podolicus{395779}","Animalia"
"222608","Abax pyrenaeus","Abax pyrenaeus{222608}","Animalia"
"251021","Abax pyrenaeus pyrenaeus","Abax pyrenaeus pyrenaeus{251021}","Animalia"
"395783","Abax sexualis","Abax sexualis{395783}","Animalia"
"396811","Abbotia georgiana","Abbotia georgiana{396811}","Animalia"
"79317","Abbotia palustris","Abbotia palustris{79317}","Plantae"
"396814","Abbotia paykulliana","Abbotia paykulliana{396814}","Animalia"
"79318","Abbotia pumila","Abbotia pumila{79318}","Plantae"
"188662","Abdera","Abdera{188662}","Animalia"
"223972","Abdera affinis","Abdera affinis{223972}","Animalia"
"223969","Abdera bifasciata","Abdera bifasciata{223969}","Animalia"
"397289","Abdera bifasciata","Abdera bifasciata{397289}","Animalia"
"12064","Abdera biflexuosa","Abdera biflexuosa{12064}","Animalia"
"223973","Abdera flexuosa","Abdera flexuosa{223973}","Animalia"
"397294","Abdera picea","Abdera picea{397294}","Animalia"
"223970","Abdera quadrifasciata","Abdera quadrifasciata{223970}","Animalia"
"397296","Abdera scutellaris","Abdera scutellaris{397296}","Animalia"
"397297","Abdera suturalis","Abdera suturalis{397297}","Animalia"
"397292","Abdera undata","Abdera undata{397292}","Animalia"
"239523","Abeille domestique, Abeille européenne","Abeille domestique, Abeille européenne{239523}","Animalia"
"205435","Abemus","Abemus{205435}","Animalia"
