"index_key","TrapProgram","TrapLabel","TrapValue"
"LGH001","LGH","2018-COE-LGH-M-001 @ Acheson","2018-COE-LGH-M-001"
"LGH002","LGH","2018-COE-LGH-M-002 @ Acheson","2018-COE-LGH-M-002"
"LGH003","LGH","2018-COE-LGH-L-003 @ Acheson","2018-COE-LGH-L-003"
"LGH004","LGH","2018-COE-LGH-L-004 @ Acheson","2018-COE-LGH-L-004"
"LGH005","LGH","2018-COE-LGH-M-011 @ Poundmaker","2018-COE-LGH-M-011"
"LGH006","LGH","2018-COE-LGH-M-012 @ Poundmaker","2018-COE-LGH-M-012"
"LGH007","LGH","2018-COE-LGH-L-009 @ Poundmaker","2018-COE-LGH-L-009"
"LGH008","LGH","2018-COE-LGH-L-0010 @ Poundmaker","2018-COE-LGH-L-0010"
"LGH009","LGH","2018-COE-LGH-M-005 @ Plypow","2018-COE-LGH-M-005"
"LGH010","LGH","2018-COE-LGH-M-007 @ Plypow","2018-COE-LGH-M-007"
"LGH011","LGH","2018-COE-LGH-L-006 @ Plypow","2018-COE-LGH-L-006"
"LGH012","LGH","2018-COE-LGH-L-008 @ Plypow","2018-COE-LGH-L-008"
"LGH013","LGH","Other","Other"
"IAS001","IAS","2018-COE-IAS-e-001 @ Coronation","2018-COE-IAS-e-001"
"IAS002","IAS","2018-COE-IAS-a-002 @ Coronation","2018-COE-IAS-a-002"
"IAS003","IAS","2018-COE-IAS-i-003 @ Coronation","2018-COE-IAS-i-003"
"IAS004","IAS","2018-COE-IAS-a-007 @ ERDP","2018-COE-IAS-a-007"
"IAS005","IAS","2018-COE-IAS-e-008 @ ERDP","2018-COE-IAS-e-008"
"IAS006","IAS","2018-COE-IAS-i-009 @ ERDP","2018-COE-IAS-i-009"
"IAS007","IAS","2018-COE-IAS-i-004 @ OMC","2018-COE-IAS-i-004"
"IAS008","IAS","2018-COE-IAS-a-005 @ OMC","2018-COE-IAS-a-005"
"IAS009","IAS","2018-COE-IAS-e-006 @ OMC","2018-COE-IAS-e-006"
"IAS010","IAS","Other","Other"
"MDB001","MPB","2018-COE-MPB-001 @ Wellington","2018-COE-MPB-001"
"MDB002","MPB","2018-COE-MPB-002 @ Wellington","2018-COE-MPB-002"
"MDB003","MPB","2018-COE-MPB-003 @ Wellington","2018-COE-MPB-003"
"MDB004","MPB","2018-COE-MPB-004 @ Borden","2018-COE-MPB-004"
"MDB005","MPB","2018-COE-MPB-005 @ Borden","2018-COE-MPB-005"
"MDB006","MPB","2018-COE-MPB-006 @ Borden","2018-COE-MPB-006"
"MDB007","MPB","2018-COE-MPB-007 @ RVR","2018-COE-MPB-007"
"MDB008","MPB","2018-COE-MPB-008 @ RVR","2018-COE-MPB-008"
"MDB009","MPB","2018-COE-MPB-009 @ RVR","2018-COE-MPB-009"
"MDB010","MPB","Other","Other"
"Oth001","Other",,
